"ticker_code","sector_name","statement_date","stocks_amount","div_yield","assets","disponibility","current_assets","gross_debt","net_debt","liquid_equity","net_revenue","ebit","liquid_profit","price_date","price_value"
ENAT3,"Petróleo, Gás e Biocombustíveis",2022-03-31,265807000,9.40,6112670000,2383570000,2882900000,589307000,-1794270000,2253820000,3984900000,751862000,1362120000,2022-06-22,17.29
ONCO3,Saúde,2022-03-31,495358000,0.00,6281620000,1482750000,2541450000,2443020000,960275000,2895470000,1826450000,196479000,-67412000,2022-06-22,4.45
VVEO3,Saúde,2022-03-31,286123000,0.00,6816890000,1757330000,4479870000,2086270000,328936000,6633530000,2194880000,480221000,458096000,2022-06-22,13.66
PARD3,Saúde,2022-03-31,130979000,2.20,2376190000,251191000,812351000,335961000,84770000,2050560000,921634000,401177000,227320000,2022-06-22,18.06
BIOM3,Saúde,2022-03-31,73528000,0.00,406313000,73616000,161753000,174284000,100668000,119209000,170578000,-70486000,-81713000,2022-06-22,8.59
BALM3,Saúde,2022-03-31,9800000,1.70,224407000,39946000,154305000,19577000,-20369000,134762000,124110000,7692000,13103000,2022-06-15,14.42
PNVL3,Saúde,2022-03-31,150377000,1.80,2482440000,95933000,1436780000,723380000,627447000,3374620000,1066970000,73626000,79753000,2022-06-22,9.74
AALR3,Saúde,2022-03-31,118293000,0.00,2537390000,81625000,456178000,761559000,679934000,1126550000,1159400000,77620000,-32291000,2022-06-22,19.66
ODPV3,Saúde,2022-03-31,568466000,2.60,2012260000,336417000,592576000,0,-336417000,1843530000,1214980000,644202000,433084000,2022-06-22,9.28
RADL3,Saúde,2022-03-31,1651930000,1.30,15536800000,466154000,8484060000,2169070000,1702920000,25069500000,4751380000,1287040000,718278000,2022-06-22,19.44
QUAL3,Saúde,2022-03-31,284014000,2.30,4400780000,686909000,1203560000,2033870000,1346960000,2075770000,1343080000,758148000,325386000,2022-06-22,14.12
OFSA3,Saúde,2022-03-31,53949000,2.60,1203910000,147373000,701456000,395816000,248443000,938522000,653126000,146146000,120468000,2022-06-22,20.2
HYPE3,Saúde,2022-03-31,633421000,3.30,20372600000,1595170000,6067820000,8199650000,6604490000,6260060000,9892280000,2034450000,1372530000,2022-06-22,38.19
FLRY3,Saúde,2022-03-31,317944000,6.60,5995990000,506509000,1602240000,2847640000,2341130000,4068760000,1743720000,665126000,341755000,2022-06-22,14.2
CLSA3,Tecnologia da Informação,2022-03-31,187926000,0.00,966618000,642909000,767923000,94490000,-548419000,464977000,739191000,-127901000,-127529000,2022-06-22,3.94
LVTC3,Tecnologia da Informação,2022-03-31,64663100,0.00,1313920000,16898000,701250000,0,-16898000,1082180000,630313000,264927000,60910000,2022-06-22,6.75
IFCM3,Tecnologia da Informação,2022-03-31,281636000,0.00,2934680000,196897000,967694000,446219000,249322000,544314000,1238250000,-55145000,-102538000,2022-06-22,4.28
LWSA3,Tecnologia da Informação,2022-03-31,590247000,0.00,4623660000,1546390000,2191660000,85132000,-1461260000,888067000,2941450000,21513000,-2842000,2022-06-22,5.55
TOTS3,Tecnologia da Informação,2022-03-31,617183000,0.90,10083300000,3002720000,5506010000,1799900000,-1202820000,3519750000,4308030000,1157530000,367301000,2022-06-22,23.76
LINX3,Tecnologia da Informação,2021-03-31,189409000,1.50,2580930000,585024000,1112450000,361814000,-223210000,898430000,1619010000,133241000,-77890000,2021-06-25,37.4
POSI3,Tecnologia da Informação,2022-03-31,141800000,5.50,4146650000,626772000,3508810000,1277890000,651114000,3720320000,1101320000,264487000,173366000,2022-06-22,6.0
BRIT3,Telecomunicações,2022-03-31,449095000,0.00,2846370000,518614000,694051000,1068960000,550342000,781559000,1350050000,91731000,18971000,2022-06-22,1.81
FIQE3,Telecomunicações,2022-03-31,362050000,0.00,1619980000,634310000,767394000,288742000,-345568000,522140000,972414000,144195000,94752000,2022-06-22,3.29
DESK3,Telecomunicações,2022-03-31,87179900,0.00,2397530000,520136000,626492000,878489000,358353000,448068000,891106000,88482000,28032000,2022-06-22,7.12
TIMS3,Telecomunicações,2022-03-31,2420800000,4.10,49026300000,8075660000,13601500000,3338890000,-4736770000,18445500000,25338000000,3379810000,3085650000,2022-06-22,12.58
VIVT3,Telecomunicações,2022-03-31,1676940000,8.10,116490000000,6461360000,21670400000,15587500000,9126140000,44535300000,70102900000,5062390000,6053440000,2022-06-22,46.96
TELB3,Telecomunicações,2022-03-31,67865000,0.00,4048670000,1098810000,1481620000,196577000,-902237000,289136000,1345540000,-316722000,-144968000,2022-06-22,27.0
AURE3,Utilidade Pública,2022-03-31,1000000000,0.70,28452300000,3173850000,5465780000,4835090000,1661240000,3217220000,12820300000,1201210000,41812000,2022-06-22,13.71
MEGA3,Utilidade Pública,2022-03-31,569598000,0.00,13109000000,1072770000,2234480000,6205850000,5133080000,0,4210340000,0,0,2022-06-22,10.23
CEPE3,Utilidade Pública,2022-03-31,74612000,0.00,12912000000,540000000,3938000000,6443000000,5903000000,8643000000,1891000000,1198000000,359000000,2020-12-30,128.0
CEED3,Utilidade Pública,2022-03-31,68255000,0.00,6211860000,649021000,2632320000,2713460000,2064440000,4866770000,-2649070000,148917000,-205460000,2022-05-31,42.0
EEEL3,Utilidade Pública,2022-03-31,9658000,35.60,4694410000,816120000,1978960000,572566000,-243554000,1054580000,2177320000,526647000,121667000,2022-05-24,421.01
CASN3,Utilidade Pública,2022-03-31,874960000,0.20,3899020000,97142000,466301000,1364030000,1266880000,1249850000,1733180000,253100000,152562000,2021-08-05,15.01
CEGR3,Utilidade Pública,2022-03-31,259638000,1.80,3736250000,156282000,877929000,1187990000,1031710000,4850310000,1084200000,798659000,464183000,2022-04-06,89.0
CEBR3,Utilidade Pública,2022-03-31,72082000,101.80,1476000000,731102000,910564000,0,-731102000,353462000,868046000,123118000,147301000,2022-06-22,14.98
RNEW3,Utilidade Pública,2022-03-31,109480000,0.00,2213930000,194594000,580515000,1231490000,1036900000,102623000,-721426000,-90298000,-5396000,2022-06-22,1.79
COCE3,Utilidade Pública,2022-03-31,77855000,2.90,11738500000,236043000,3559600000,4066640000,3830590000,8605430000,3583410000,1302270000,512812000,2021-12-28,58.92
